ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-40622,"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural",sadness,0: no sadness can be inferred,0,"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. Supernatural","carry on my wayward son, there'll be peace when you are done. lay your weary head to rest. don't you cry no more. supernatural"
2017-En-40317,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,sadness,2: moderate amount of sadness can be inferred,2,My nephew sees that i have a frown on my face and he tells me 'you're beautiful '!crying_facerevolving_heartsweary_face,my nephew sees that i have a frown on my face and he tells me 'you're beautiful '!crying_facerevolving_heartsweary_face
2017-En-40777,@EBled2 Great to have you as our tournament chair and award was #serious,sadness,0: no sadness can be inferred,0,Great to have you as our tournament chair and award was serious,great to have you as our tournament chair and award was serious
2017-En-41410,@CornerBakery Sorry I missed you :) I stayed up late working and pondering life,sadness,2: moderate amount of sadness can be inferred,2,Sorry I missed you ) I stayed up late working and pondering life,sorry i missed you ) i stayed up late working and pondering life
2017-En-40565,@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,sadness,0: no sadness can be inferred,0,will this be aired on radio or filmed? Lots of fans over the pond too! wales lost,will this be aired on radio or filmed? lots of fans over the pond too! wales lost
2017-En-41401,"If Troyler will die, I'm gonna die with them\n#troyler #sadness #fuckin'lifeisnotafairytale",sadness,3: high amount of sadness can be inferred,3,"If Troyler will die, I'm gonna die with them\ntroyler sadness fuckin'lifeisnotafairytale","if troyler will die, i'm gonna die with them\ntroyler sadness fuckin'lifeisnotafairytale"
2017-En-40845,"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,0: no sadness can be inferred,0,"We are about a little over an hour away! We will arrive soon, do not fret!","we are about a little over an hour away! we will arrive soon, do not fret!"
2017-En-41194,For once I gatherp th strength to not try and drink my pain away. #sober #Fighter #strong #lovely #dreamer,sadness,1: low amount of sadness can be inferred,1,For once I gatherp th strength to not try and drink my pain away. sober Fighter strong lovely dreamer,for once i gatherp th strength to not try and drink my pain away. sober fighter strong lovely dreamer
2017-En-40492,@littlebakaa @AlcohoIPorn give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;,sadness,0: no sadness can be inferred,0,give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;,give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;
2017-En-40279,@Ashleyavitia_ don't leave me ,sadness,2: moderate amount of sadness can be inferred,2,don't leave me,don't leave me
2017-En-40689,"Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland",sadness,0: no sadness can be inferred,0,"Back to forest drama -\nfrom my Forest music - series, 2016\nnature dark art photography Finland","back to forest drama -\nfrom my forest music - series, 2016\nnature dark art photography finland"
2017-En-40028,The moment of the day when you have to start to plaster a smile in your face. #depression,sadness,3: high amount of sadness can be inferred,3,The moment of the day when you have to start to plaster a smile in your face. depression,the moment of the day when you have to start to plaster a smile in your face. depression
2017-En-41131,"@DevilsAdvcate @ManUtd absolutely boring.M a big Manchester United fan,  nd its really disappointing to see them play in ths dull boring way",sadness,2: moderate amount of sadness can be inferred,2,"absolutely boring.M a big Manchester United fan, nd its really disappointing to see them play in ths dull boring way","absolutely boring.m a big manchester united fan, nd its really disappointing to see them play in ths dull boring way"
2017-En-41057,How do you help someone with #depression who doesn't believe they have it and doesn't trust therapists?,sadness,2: moderate amount of sadness can be inferred,2,How do you help someone with depression who doesn't believe they have it and doesn't trust therapists?,how do you help someone with depression who doesn't believe they have it and doesn't trust therapists?
2017-En-41502,Probs spent a grand total of five minutes sober since Sunday evening :) #freshers,sadness,1: low amount of sadness can be inferred,1,Probs spent a grand total of five minutes sober since Sunday evening ) freshers,probs spent a grand total of five minutes sober since sunday evening ) freshers
2017-En-40725,"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",sadness,0: no sadness can be inferred,0,"RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion movies and sunk costs","ricefodays now i am alex butler's class on financial management. starts off with a great, relevant class discussion movies and sunk costs"
2017-En-40609,"@holly_lolly7 I just have serious respect for any man that can pull off a bun better than I can, like maybe they can teach me their ways.",sadness,0: no sadness can be inferred,0,"I just have serious respect for any man that can pull off a bun better than I can, like maybe they can teach me their ways.","i just have serious respect for any man that can pull off a bun better than i can, like maybe they can teach me their ways."
2017-En-40539,Gonna be a loooooong year as a Browns fan. Longer than normal and that's ,sadness,0: no sadness can be inferred,0,Gonna be a loooooong year as a Browns fan. Longer than normal and that's,gonna be a loooooong year as a browns fan. longer than normal and that's
2017-En-41492,I honestly feel nothing towards either of my parents and it's pretty depressing,sadness,3: high amount of sadness can be inferred,3,I honestly feel nothing towards either of my parents and it's pretty depressing,i honestly feel nothing towards either of my parents and it's pretty depressing
2017-En-40056,The weather sure matches the mood in this state today.. #gloomy,sadness,3: high amount of sadness can be inferred,3,The weather sure matches the mood in this state today.. gloomy,the weather sure matches the mood in this state today.. gloomy
2017-En-40594,"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",sadness,0: no sadness can be inferred,0,"I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?","i'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?"
2017-En-20070,@BigBossPeltonen \nLikewise #death #cutting #despair,sadness,3: high amount of sadness can be inferred,3,\nLikewise death cutting despair,\nlikewise death cutting despair
2017-En-40079,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness,3: high amount of sadness can be inferred,3,my god is a full shilling? Seriously you need a major rethink or no lab gove in your lifetime sad,my god is a full shilling? seriously you need a major rethink or no lab gove in your lifetime sad
2017-En-40625,@superbatlane it's true also that he doesn't escape until almost all the car sunk,sadness,0: no sadness can be inferred,0,it's true also that he doesn't escape until almost all the car sunk,it's true also that he doesn't escape until almost all the car sunk
2017-En-41139,my bls depress the blake,sadness,2: moderate amount of sadness can be inferred,2,my bls depress the blake,my bls depress the blake
2017-En-40059,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,sadness,3: high amount of sadness can be inferred,3,Am I the only person who dislikes fall? FirstDayofFall leaves thingsdie depressing cold noflipflops thumbs_down_medium-dark_skin_tonethumbs_down_medium_skin_tonethumbs_down_light_skin_tonefallen_leafmaple_leaf,am i the only person who dislikes fall? firstdayoffall leaves thingsdie depressing cold noflipflops thumbs_down_medium-dark_skin_tonethumbs_down_medium_skin_tonethumbs_down_light_skin_tonefallen_leafmaple_leaf
2017-En-41513,Sometimes the support network is causing the damage. \n\n#support #Damaged #alone #tired #lost #hurt #nojustice #depression #surivivor #NoMore,sadness,3: high amount of sadness can be inferred,3,Sometimes the support network is causing the damage. \n\nsupport Damaged alone tired lost hurt nojustice depression surivivor NoMore,sometimes the support network is causing the damage. \n\nsupport damaged alone tired lost hurt nojustice depression surivivor nomore
