ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-10791,ESPN just assumed I wanted their free magazines ,anger,0: no anger can be inferred,0,ESPN just assumed I wanted their free magazines,espn just assumed i wanted their free magazines
2017-En-10822,snap: hiAleshia 😃,anger,0: no anger can be inferred,0,snap hiAleshia grinning_face_with_big_eyes,snap hialeshia grinning_face_with_big_eyes
2017-En-10296,@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club #bitter,anger,2: moderate amount of anger can be inferred,2,everyone is against wigan because we are the biggest club bitter,everyone is against wigan because we are the biggest club bitter
2017-En-10411,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,anger,2: moderate amount of anger can be inferred,2,Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis,prudence suggests that a 8+% bump over 2-3 weeks should be viewed with skepticism. media/hrc axis
2017-En-10669,That is at least the 3rd time the balls been burst in our games,anger,0: no anger can be inferred,0,That is at least the 3rd time the balls been burst in our games,that is at least the 3rd time the balls been burst in our games
2017-En-10017,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,3: high amount of anger can be inferred,3,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.","i hate my lawn mower. if it had a soul, i'd condemn it to the fiery pits of hell."
2017-En-11508,@brooklynbreeder \nI could not believe that their answer to his outrage was that they were right. I do hope he takes them to the cleaners.,anger,1: low amount of anger can be inferred,1,\nI could not believe that their answer to his outrage was that they were right. I do hope he takes them to the cleaners.,\ni could not believe that their answer to his outrage was that they were right. i do hope he takes them to the cleaners.
2017-En-20479,#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,anger,2: moderate amount of anger can be inferred,2,BB18 Michelle crying again shocking bitter He's just not that into you crying_faceTeamNicole,bb18 michelle crying again shocking bitter he's just not that into you crying_faceteamnicole
2017-En-10161,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger,3: high amount of anger can be inferred,3,"yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...","yeah i received a fine today which i am furious about, currently appealing it after being a member for so long..."
2017-En-10196,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,3: high amount of anger can be inferred,3,I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. TheJail,i don't think monalisa has respect for anyone but herself! i think she'll ruffle a few feathers. thejail
2017-En-10763,Don't get #bitter get #BETTER,anger,0: no anger can be inferred,0,Don't get bitter get BETTER,don't get bitter get better
2017-En-11365,There are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?,anger,2: moderate amount of anger can be inferred,2,There are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?,there are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?
